,id,full_name,first_name,last_name,is_active
3827,757,Damon Stoudamire,Damon,Stoudamire,False
3828,101136,Salim Stoudamire,Salim,Stoudamire,False
3829,2405,Amar'e Stoudemire,Amar'e,Stoudemire,False
3830,78267,Paul Stovall,Paul,Stovall,False
3831,201199,DJ Strawberry,DJ,Strawberry,False
3832,78268,Joe Strawder,Joe,Strawder,False
3833,78269,Bill Stricker,Bill,Stricker,False
3834,1065,Erick Strickland,Erick,Strickland,False
3835,1110,Mark Strickland,Mark,Strickland,False
3836,393,Rod Strickland,Rod,Strickland,False
3837,78270,Roger Strickland,Roger,Strickland,False
3838,78271,John Stroeder,John,Stroeder,False
3839,400,Derek Strong,Derek,Strong,False
3840,78273,Lamont Strothers,Lamont,Strothers,False
3841,78274,John Stroud,John,Stroud,False
3842,1629622,Max Strus,Max,Strus,True
3843,201155,Rodney Stuckey,Rodney,Stuckey,False
3844,78275,Gene Stump,Gene,Stump,False
3845,78276,Stan Stutz,Stan,Stutz,False
3846,78277,Gary Suiter,Gary,Suiter,False
3847,203096,Jared Sullinger,Jared,Sullinger,False
3848,201969,DaJuan Summers,DaJuan,Summers,False
3849,1628410,Edmond Sumner,Edmond,Sumner,True
3850,78654,Barry Sumpter,Barry,Sumpter,False
3851,201180,Sun Yue,,Sun Yue,False
3852,78278,Don Sunderlage,Don,Sunderlage,False
3853,1743,Bruno Sundov,Bruno,Sundov,False
3854,78279,Jon Sundvold,Jon,Sundvold,False
3855,682,Bob Sura,Bob,Sura,False
3856,78280,Dick Surhoff,Dick,Surhoff,False
3857,78281,Dane Suttle,Dane,Suttle,False
3858,357,Greg Sutton,Greg,Sutton,False
3859,78283,Bennie Swain,Bennie,Swain,False
3860,1628403,Caleb Swanigan,Caleb,Swanigan,True
3861,78284,Norm Swanson,Norm,Swanson,False
3862,78285,Dan Swartz,Dan,Swartz,False
3863,2552,Michael Sweetney,Michael,Sweetney,False
3864,2741,Robert Swift,Robert,Swift,False
3865,2031,Stromile Swift,Stromile,Swift,False
3866,78286,Aaron Swinson,Aaron,Swinson,False
3867,202377,Pape Sy,Pape,Sy,False
3868,78287,Wallace Sydnor,Wallace,Sydnor,False
3869,1132,Larry Sykes,Larry,Sykes,False
3870,1136,Brett Szabo,Brett,Szabo,False
3871,1887,Wally Szczerbiak,Wally,Szczerbiak,False
3872,440,Zan Tabak,Zan,Tabak,False
3873,2657,Yuta Tabuse,Yuta,Tabuse,False
3874,101147,Chris Taft,Chris,Taft,False
3875,78291,Sid Tannenbaum,Sid,Tannenbaum,False
3876,1434,Dragan Tarlac,Dragan,Tarlac,False
3877,78293,Roy Tarpley,Roy,Tarpley,False
3878,78294,Earl Tatum,Earl,Tatum,False
3879,1628369,Jayson Tatum,Jayson,Tatum,True
3880,204002,Edy Tavares,Edy,Tavares,False
3881,78295,Anthony Taylor,Anthony,Taylor,False
3882,78296,Brian Taylor,Brian,Taylor,False
3883,101182,Donell Taylor,Donell,Taylor,False
3884,78298,Fred Taylor,Fred,Taylor,False
3885,1627819,Isaiah Taylor,Isaiah,Taylor,False
3886,78297,Jay Taylor,Jay,Taylor,False
3887,78299,Jeff Taylor,Jeff,Taylor,False
3888,203106,Jeffery Taylor,Jeffery,Taylor,False
3889,201966,Jermaine Taylor,Jermaine,Taylor,False
3890,1511,Johnny Taylor,Johnny,Taylor,False
3891,78301,Leonard Taylor,Leonard,Taylor,False
3892,1508,Maurice Taylor,Maurice,Taylor,False
3893,201446,Mike Taylor,Mike,Taylor,False
3894,78302,Roland Taylor,Roland,Taylor,False
3895,203116,Tyshawn Taylor,Tyshawn,Taylor,False
3896,78303,Vince Taylor,Vince,Taylor,False
3897,78304,Terry Teagle,Terry,Teagle,False
3898,201952,Jeff Teague,Jeff,Teague,True
3899,203104,Marquis Teague,Marquis,Teague,False
3900,203141,Mirza Teletovic,Mirza,Teletovic,False
3901,2742,Sebastian Telfair,Sebastian,Telfair,False
3902,202066,Garrett Temple,Garrett,Temple,True
3903,1628462,Milos Teodosic,Milos,Teodosic,False
3904,78305,Ira Terrell,Ira,Terrell,False
3905,1629123,Jared Terrell,Jared,Terrell,False
